Keyword,Volume,KD,CPC,Intent,Cluster,Target URL,Priority,Competitor evidence
wat kost het om een website te laten maken,260,19,4.89,Informational commercial,Website cost,/kennisbank/wat-kost-een-website-laten-maken,P2,"VHBP ranks #1"
website laten maken stappenplan,210,14,0.00,Informational,Website process,/kennisbank/website-laten-maken-stappenplan,P2,"Good support article for website service page"
website laten maken of zelf maken,10,0,0.00,Informational,Website process,/kennisbank/website-laten-maken-of-zelf-maken,P3,"Low-volume comparison topic"
hoe kies je een webdesignbureau,0,0,0.00,Informational,Website process,/kennisbank/hoe-kies-je-een-webdesignbureau,P3,"Strategically useful but not validated by volume in first batch"
branding bureau,1600,25,4.33,Commercial,Branding,/diensten/branding,P1,"Sortlist, Studio Brabo, Matters Most and Bright Brands rank"
merkstrategie,1900,12,2.49,Service research,Branding,/diensten/branding,P1,"Low KD support term for strategic branding section"
huisstijl laten maken,720,13,3.59,Commercial,Branding,/diensten/branding,P1,"Strong service-adjacent term"
visuele identiteit,720,9,1.37,Service research,Branding,/diensten/branding,P1,"Low KD term that fits premium positioning"
logo laten maken,1300,41,3.76,Commercial,Branding,/diensten/branding,P3,"High competition and risks logo-only leads"
rebranding bedrijf,140,8,3.94,Commercial,Branding,/diensten/branding,P2,"Low KD support phrase"
merkidentiteit laten maken,10,0,0.00,Commercial,Branding,/diensten/branding,P2,"Very relevant despite low measured volume"
branding voor bedrijven,20,0,5.10,Commercial,Branding,/diensten/branding,P2,"Positioning support phrase"
branding bureau den haag,50,27,2.52,Local commercial,Branding local,/branding-bureau-den-haag,P3,"Low volume; build later if local branding becomes a focus"
conversie optimalisatie,5400,24,5.18,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"Fingerspitz #1; specialist CRO SERP"
conversie optimalisatie bureau,1900,30,7.91,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"Specialist domains dominate; strong future service page"
conversie optimalisatie specialist,1300,14,6.00,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"Lower KD specialist phrase"
conversie optimalisatie website,720,20,0.00,Service research,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"Fits Brandlift's website conversion angle"
website conversie optimalisatie,590,13,7.33,Service research,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"Very close to Brandlift positioning"
website conversie verhogen,210,14,3.56,Service research,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"Use in copy around more aanvragen"
conversie optimalisatie mkb,170,5,0.00,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P3,"Low KD and relevant to MKB"
conversie optimalisatie uitbesteden,110,7,0.00,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P3,"Low KD support term"
leadgeneratie website,210,5,8.96,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"MHS Media validates leadgen website positioning"
leadgeneratie website laten maken,70,11,0.00,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"MHS Media ranks #1"
leadgeneratie website laten bouwen,70,17,0.00,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P2,"MHS Media ranks #1"
website optimaliseren voor leads,40,0,0.00,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P3,"Strategic support phrase"
meer aanvragen via website,10,0,0.00,Commercial,Conversie optimalisatie,/diensten/conversie-optimalisatie,P3,"Core Brandlift language despite low volume"
wat is conversie optimalisatie,390,22,0.00,Informational,Conversie kennisbank,/kennisbank/wat-is-conversie-optimalisatie,P3,"Useful later support article"
conversie optimalisatie tips,320,15,0.00,Informational,Conversie kennisbank,/kennisbank/conversie-optimalisatie-tips,P3,"Useful later support article"
website laten maken hovenier,110,8,0.00,Branche commercial,Hoveniers,/voor-wie/hoveniers,P2,"Best validated niche page from branch set"
website laten maken hoveniers,50,0,0.00,Branche commercial,Hoveniers,/voor-wie/hoveniers,P2,"Support phrase for hovenier page"
website voor hoveniers,40,0,0.00,Branche commercial,Hoveniers,/voor-wie/hoveniers,P2,"Support phrase for hovenier page"
website laten maken bouwbedrijf,50,8,8.12,Branche commercial,Bouwbedrijven,/voor-wie/bouwbedrijven,P3,"Low volume but strong business relevance"
website laten maken schilder,40,0,0.00,Branche commercial,Schilders,/voor-wie/schilders,P3,"Sales relevance more than SEO volume"
website laten maken aannemer,40,0,0.00,Branche commercial,Aannemers,/voor-wie/aannemers,P3,"Sales relevance more than SEO volume"
website laten maken dakdekker,30,0,0.00,Branche commercial,Dakdekkers,/voor-wie/dakdekkers,P3,"Later niche support"
website laten maken elektricien,20,0,0.00,Branche commercial,Elektriciens,/voor-wie/elektriciens,P3,"Later niche support"
website voor loodgieter,0,0,0.00,Branche commercial,Loodgieters,/voor-wie/loodgieters,P4,"Not validated; only build if sales need emerges"
website laten maken vastgoedbedrijf,0,0,0.00,Branche commercial,Vastgoed,/voor-wie/vastgoedbedrijven,P4,"Not validated in first batch"
website laten maken maritiem bedrijf,0,0,0.00,Branche commercial,Maritiem,/voor-wie/maritieme-bedrijven,P4,"Not validated in first batch"
